Name,Description,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_16,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>YISHUN MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit B</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>C2D55B079B8AA456</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",YISHUN MRT STATION,Exit B,C2D55B079B8AA456,20230127204435,1.42963629191008,103.834865533461
kml_17,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>YISHUN MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit E</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>C551A20E6E342A65</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",YISHUN MRT STATION,Exit E,C551A20E6E342A65,20230127204435,1.42966559716462,103.835643654933
kml_18,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SERANGOON MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit G</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>40A841F72D73A02C</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SERANGOON MRT STATION,Exit G,40A841F72D73A02C,20230127204435,1.35079019941389,103.872866695396
kml_19,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SERANGOON MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit B</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>DA4475EAB2A9601C</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SERANGOON MRT STATION,Exit B,DA4475EAB2A9601C,20230127204435,1.34983373825613,103.873641321904
kml_20,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SERANGOON MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit E</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>12758F1DDC8CF6B8</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SERANGOON MRT STATION,Exit E,12758F1DDC8CF6B8,20230127204435,1.3508202454304,103.872902116341
kml_21,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>TAI SENG MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit A</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>54874BD41781B357</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",TAI SENG MRT STATION,Exit A,54874BD41781B357,20230127204435,1.33591408492645,103.887627437262
kml_22,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>EUNOS MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit C</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>CB562FEDBA333355</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",EUNOS MRT STATION,Exit C,CB562FEDBA333355,20230127204435,1.31952991880127,103.903215186978
kml_23,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SEMBAWANG MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit C</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>CBDA244C9326B8C6</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SEMBAWANG MRT STATION,Exit C,CBDA244C9326B8C6,20230127204435,1.44915683716069,103.819758966004
kml_24,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>HOUGANG MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit B</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>6D19186EFE5FD5FB</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",HOUGANG MRT STATION,Exit B,6D19186EFE5FD5FB,20230127204435,1.37194611655273,103.892972400972
kml_25,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>CHANGI AIRPORT MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit A</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>2D491EF64CB58C02</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",CHANGI AIRPORT MRT STATION,Exit A,2D491EF64CB58C02,20230127204435,1.3563414210048,103.989276642414
