Name,Description,LIC_NAME,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,LIC_NO,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_196,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>JALAN ANAK BUKIT</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>588996</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>C02036N000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>E5E781D6EA88B7A6</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,1,JALAN ANAK BUKIT,1,588996,C02036N000,E5E781D6EA88B7A6,20190124162920,1.33865677093942,103.778560473793
kml_197,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>135</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>JURONG EAST STREET 13</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>337</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>600135</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>C02037L000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>6D7812A1351B491B</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,135,JURONG EAST STREET 13,337,600135,C02037L000,6D7812A1351B491B,20190124162920,1.33375343289468,103.739371389066
kml_198,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>JURONG WEST CENTRAL 2</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>9</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>648886</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>C02038K000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>CB59096738AA19D4</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,1,JURONG WEST CENTRAL 2,9,648886,C02038K000,CB59096738AA19D4,20190124162920,1.33983014805774,103.706460886826
kml_199,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>63/66</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>YUNG KUANG ROAD</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>610063</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>C02040A000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>86615D3A14841744</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,63/66,YUNG KUANG ROAD,,610063,C02040A000,86615D3A14841744,20190124162920,1.33205937638185,103.722452888408
kml_200,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>399</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>YUNG SHENG ROAD</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>610399</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>C02041V000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>D5B771676FE02444</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,399,YUNG SHENG ROAD,,610399,C02041V000,D5B771676FE02444,20190124162920,1.33504201869474,103.720268020639
kml_201,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>166</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>BUKIT BATOK WEST AVENUE 8</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>650166</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>C02053L000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>FD7B034D6FAD7B21</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,166,BUKIT BATOK WEST AVENUE 8,,650166,C02053L000,FD7B034D6FAD7B21,20190124162920,1.34716235926513,103.74280788296
kml_202,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>10</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>BUKIT BATOK CENTRAL</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>8</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>659958</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>C02104B000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>7229CB311386809E</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,10,BUKIT BATOK CENTRAL,8,659958,C02104B000,7229CB311386809E,20190124162920,1.3487108014327,103.74933452639
kml_203,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>BLK 345</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>JURONG EAST STREET 31</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>29</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>600345</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>C85274C000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>E708205620B9F225</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,BLK 345,JURONG EAST STREET 31,29,600345,C85274C000,E708205620B9F225,20190124162920,1.34551209957725,103.731219147651
kml_204,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>57</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>DAWSON ROAD</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>142057</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>CE04086K000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>07108C84A74C8A7C</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,57,DAWSON ROAD,1,142057,CE04086K000,07108C84A74C8A7C,20190124162920,1.29270339832466,103.810958960395
kml_205,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>SHENG SIONG SUPERMARKET PTE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>19</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>SERANGOON NORTH AVENUE 5</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>1/2</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>554913</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>CE04561V000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>1D54775F11935375</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",SHENG SIONG SUPERMARKET PTE LTD,19,SERANGOON NORTH AVENUE 5,1/2,554913,CE04561V000,1D54775F11935375,20190124162920,1.37563500165175,103.871996419079
kml_206,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>71</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>KALLANG BAHRU</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>531</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>330071</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>CE05295K000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>DBA039A142EA9994</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,71,KALLANG BAHRU,531,330071,CE05295K000,DBA039A142EA9994,20190124162920,1.32099294995032,103.870389995935
kml_207,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>JALAN BUKIT MERAH</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>4500</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>150001</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>CE05487V000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>B1D48DC85DA7AD12</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,1,JALAN BUKIT MERAH,4500,150001,CE05487V000,B1D48DC85DA7AD12,20190124162920,1.28645354374901,103.80824240096
kml_208,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>491</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>RIVER VALLEY ROAD</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>14</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>248371</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>CE06044N000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>ABBD171C982AD017</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,491,RIVER VALLEY ROAD,14,248371,CE06044N000,ABBD171C982AD017,20190124162920,1.29301786111443,103.826940812301
kml_209,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>10</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>SINARAN DRIVE</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>47/48</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>307506</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>CE06L48L000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>3FF83B006AE67CA8</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,10,SINARAN DRIVE,47/48,307506,CE06L48L000,3FF83B006AE67CA8,20190124162920,1.32042967863542,103.843892126913
kml_210,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>53</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>ANG MO KIO AVENUE 3</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>40</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>569933</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>CE06M36N000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>48276C87BC805392</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,53,ANG MO KIO AVENUE 3,40,569933,CE06M36N000,48276C87BC805392,20190124162920,1.36924890739397,103.848399235571
kml_211,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LIC_NAME</th> <td>NTUC FAIRPRICE CO-OPERATIVE LTD</td> </tr><tr bgcolor=""""> <th>BLK_HOUSE</th> <td>43</td> </tr><tr bgcolor=""#E3E3F3""> <th>STR_NAME</th> <td>CAMBRIDGE ROAD</td> </tr><tr bgcolor=""""> <th>UNIT_NO</th> <td>15</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTCODE</th> <td>210043</td> </tr><tr bgcolor=""""> <th>LIC_NO</th> <td>CE07320C000</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>82A43E54FB4A0EA8</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20190124162920</td> </tr></table></center>",NTUC FAIRPRICE CO-OPERATIVE LTD,43,CAMBRIDGE ROAD,15,210043,CE07320C000,82A43E54FB4A0EA8,20190124162920,1.31536303357228,103.849434508531
