Name,Description,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME,ADDRESSBLOCKHOUSENUMBER,ADDRESSSTREETNAME,ADDRESSFLOORNUMBER,ADDRESSUNITNUMBER,ADDRESSPOSTALCODE,ADDRESSBUILDINGNAME,DESCRIPTION,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>12103.5711</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>39335.2217</td> </tr><tr bgcolor=""#E3E3F3""> <th>NAME</th> <td>Garden of Peace [Under Construction]</td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Old Choa Chu Kang Road</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSPOSTALCODE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td></td> </tr><tr bgcolor=""""> <th>DESCRIPTION</th> <td>Garden of Peace is under construction and will be ready in early 2021. It will be the first ash scattering garden in Singapore offering people of all faiths an additional option for managing cremated human ashes.</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>1F2052EAB9BE0C1C</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20201215141618</td> </tr></table></center>",12103.5711,39335.2217,Garden of Peace [Under Construction],,Old Choa Chu Kang Road,,,,,Garden of Peace is under construction and will be ready in early 2021. It will be the first ash scattering garden in Singapore offering people of all faiths an additional option for managing cremated human ashes.,1F2052EAB9BE0C1C,20201215141618,1.3720039999951,103.690478000005
kml_2,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>25345.43594</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>44081.41094</td> </tr><tr bgcolor=""#E3E3F3""> <th>NAME</th> <td>Garden of Serenity [Ready by 2021]</td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSSTREETNAME</th> <td>Mandai Road</td> </tr><tr bgcolor=""""> <th>ADDRESSFLOORNUMBER</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSUNITNUMBER</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSPOSTALCODE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td></td> </tr><tr bgcolor=""""> <th>DESCRIPTION</th> <td>Garden of Serenity, located at the new Mandai Crematorium Complex, will be ready in 2022.</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>1C0C231A635CAD5A</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20201215141618</td> </tr></table></center>",25345.43594,44081.41094,Garden of Serenity [Ready by 2021],,Mandai Road,,,,,"Garden of Serenity, located at the new Mandai Crematorium Complex, will be ready in 2022.",1C0C231A635CAD5A,20201215141618,1.41493099962424,103.809464999632
